title,year,type_raw,ris_type,doi,url,keywords,abstract,source_file,sheet,doi_key,title_key,fa_key,year_key,dedup_key,score,authors_joined
A comprehensive framework for the sustainability indicators in the textile industry of developing countries,2024.0,Article,JOUR,10.1002/bsd2.332,https://doi.org/10.1002/bsd2.332,texile_waste_all_key_words,"Textile production in developing countries is known to be associated with significant environmental, social, and economic challenges. Existing research has mostly focused on singular aspects of sustainability, while no consensus exists on the importance and applicability of sustainability indicators. To address these gaps, this study utilized an integrated approach involving the Delphi method and the fuzzy best-worst method (BWM) to develop a comprehensive framework by identifying and formulating sustainability indicators tailored for the textile industry in developing countries and assess their importance and applicability. Through three consecutive rounds of Delphi, a total of 64 sustainability indicators were identified (16 economic, 24 environmental, and 24 social indicators). Next, fuzzy BWM was employed to determine the importance and applicability of these indicators. The results show that (a) environmental indicators overall have higher applicability scores, (b) the top three critical indicators were raw material usage, operational costs, and fuel consumption, and (c) nearly half of the indicators (29/64) were deemed highly applicable, with 34.5% (10/29) of these falling under environmental, 34.5% (10/29) under economic, and 31% (9/29) under social dimensions. Finally, the utility of the framework is demonstrated through an empirical case study in a textile manufacturing company in Nigeria.",Textile Waste,DATA,10.1002/bsd2.332,a comprehensive framework for the sustainability indicators in the textile industry of developing countries,fadara,2024,10.1002/bsd2.332,14,"Fadara, Taiwo Gbolarumi; Wong, Kuan Yew; Zarei, Hossein"
Women's role in promoting sustainable development through stakeholder engagement and environmental policy African perspectives on the circular economy,2024.0,Article,JOUR,10.1002/bsd2.70051,https://doi.org/10.1002/bsd2.70051,“Gender dynamics” AND “Plastic Waste” AND “Job creation” AND “Africa” OR “Any African country”,"As African countries increasingly adopt circular economy strategies, the implications for sustainable development remain un- derexplored, particularly regarding gender dynamics. This study investigates the critical role that women play in promoting sus- tainable development through stakeholder engagement and environmental policy within the context of the circular economy in Africa. Drawing on sustainability theories, the research employs exploratory and quantitative methods to analyse a longitudinal dataset from the World Development Indicators (WDI), Gender Statistics (GS), and Adjusted Net Savings (ANS) databases, cover- ing 11 African countries from 2016 to 2023. The pooled ordinary least squares (OLS) and system generalized method of moments (GMM) analyses reveal that women's involvement in the circular economy not only enhances sustainability but also contributes to job creation and overall economic growth. Moreover, women's engagement significantly moderates the relationship between circular economy practices and sustainability outcomes in the region. These findings offer new insights into the intersection of gender, policy, sustainability, and stakeholder engagement. They advance scholarly understanding of how women's participation in the circular economy can drive broader sustainable development goals in Africa.",Plastic Waste,DATA,10.1002/bsd2.70051,women s role in promoting sustainable development through stakeholder engagement and environmental policy african perspectives on the circular economy,oppong,2024,10.1002/bsd2.70051,13,"Oppong, Clement; Mathibe, Motshedisi Sina"
Circular Economy in a Developing Country's Textile and Apparel Industry: Managerial Perspectives on Challenges and Motivators,2022.0,Article,JOUR,10.1002/bse.4169,https://doi.org/10.1002/bse.4169,Post-consumer textile waste AND upcycling AND sustainable textiles AND Africa OR any African country OR region,"The purpose of this paper is to examine the factors that challenge or motivate textile and apparel suppliers' implementation of circular economy (CE) practices. To this end, we interviewed 18 senior managers from Bangladeshi textile and apparel suppliers. The key reported challenges to CE implementation were cost concerns, the reluctance of entrepreneurs, lack of regulatory influence, the unavailability of appropriate technology and the lack of adequate research and development projects. Conversely, the long-term benefits, buyer pressure, rising awareness, growing collaboration and the growth in research funding were reported as key motivating factors for CE implementation. In particular, beyond the conflicts between financial concerns and legitimacy, our findings support institutional theory and enhance the CE literature by revealing new insights into normative factors such as development agencies' growing research funding and collaboration, which motivate suppliers to effectively implement the CE practices. This paper has significant implications for managers and policymakers regarding how to capitalise on motivating factors to overcome the challenges of CE implementation.",Textile Waste,DATA,10.1002/bse.4169,circular economy in a developing country s textile and apparel industry managerial perspectives on challenges and motivators,shobod,2022,10.1002/bse.4169,14,Shobod Deba Nath; Syed Sharaf Mustayin; Gabriel Eweje
Sustainable Futures Redefining Africa's Circular Economy Through FinTech and Knowledge‐Driven Innovations,2025.0,Article,JOUR,10.1002/bse.70167,https://doi.org/10.1002/bse.70167,“Plastic circulatory” AND upcycling AND Sustainable materials AND Africa,"As sustainability becomes a global imperative, the circular economy (CE) presents a vital strategy for resource efficiency and resilience, particularly in Africa. This study examines how FinTech and knowledge-driven innovations (i.e., human capital, ICT access, and innovation) shape CE outcomes across 33 African countries from 1997 to 2021. Using feasible generalized least squares (FGLS), panel-corrected standard errors (PCSE), instrumental variables (2SLS), and quantile regression (MM-QR), the study finds that FinTech adoption significantly enhances CE, especially through its role in enabling digital financial inclusion and low-waste practices. Human capital positively impacts CE. ICT infrastructure shows mixed but important effects: mobile cellular subscriptions (ICT1) broaden access to digital tools, while secure internet servers (ICT2) are essential for advanced CE technologies. Innovation output exerts positive effects on CE and enhances the impact of FinTech. Regional findings reveal that Southern Africa shows the highest FinTech-driven CE gains, supported by strong ICT and human capital; East and West Africa benefit from ICT2 and patenting, while Central Africa's CE potential is limited by weak digital infrastructure. These findings highlight the need for integrated, region-specific policy approaches to accelerate CE transitions.",Plastic Waste,DATA,10.1002/bse.70167,sustainable futures redefining africa s circular economy through fintech and knowledge driven innovations,manu,2025,10.1002/bse.70167,14,"Manu, Emmanuel K; Atitie, David; Asongu, Simplice A"
"Biophysical potential of crop residues for biochar carbon sequestration, and co-benefits, in Uganda",2019.0,Article,JOUR,10.1002/eap.1984,https://doi.org/10.1002/eap.1984,Waste valorization AND GHG emissions AND youth employment AND Africa,"Increasing organic matter/carbon contents of soils is one option proposed to offset climate change inducing greenhouse gas (GHG) emissions, under the auspices of the UNFCC Paris Agreement. One of the complementary practices to sequester carbon in soils on decadal time scales is amending it with biochar, a carbon rich byproduct of biomass gasification. In sub-Saharan Africa (SSA), there is a widespread and close interplay of agrarian-based economies and the use of biomass for fuel, which makes the co-benefits of biochar production for agriculture and energy supply explicitly different from the rest of the world. To date, the quantities of residues available from staple crops for biochar production, and their potential for carbon sequestration in farming systems of SSA have not been comprehensively investigated. We assessed the productivity and usage of biomass waste from maize, sorghum, rice, millet, and groundnut crops; specifically quantifying straw, shanks, chaff, and shells, based on measurements from multiple farmer fields and household surveys in eastern Uganda. Moreover, allometric models were tested, using grain productivity, plant height, and density as predictors. These models enable rapid and low-cost assessment of the potential availability of feedstocks at various spatial scales: individual cropland, farm enterprise, region, and country. Ultimately, we modeled the carbon balance in soils of major cropping systems when amended with biochar from biomass residues, and up-scaled this for basic scenario analysis. This interdisciplinary approach showcases that there is significant biophysical potential for soil carbon sequestration in farming systems of Uganda through amendment of biochar derived from unused residues of cereals and legume crops. Furthermore, information about these biomass waste flows is used for estimating the rates of biochar input that could be made to farmlands, as well as the amounts of energy that could be produced with gasifier appliances.",Agrifood Systems,Articles,10.1002/eap.1984,biophysical potential of crop residues for biochar carbon sequestration and co benefits in uganda,roobroeck,2019,10.1002/eap.1984,15,"Roobroeck D, Hood-Nowotny R; Nakubulwa D, Tumuhairwe JB; Mwanjalolo MJG, Ndawula I; Vanlauwe B."
Electronic waste and environmental sustainability in Ghana: Aligning national policies with the sustainable development goals,2025.0,Article,JOUR,10.1002/geo2.70032,https://doi.org/10.1002/geo2.70032,"""WEEE"" (Waste Electrical and Electronic Equipment) AND ""urban mining"" AND ""metals recovery"" AND (Africa OR any African country OR region);","Electronic waste (e-waste) can be defined as discarded or obsolete electronic and electrical equipment that is no longer functional or desired. Globally, e-waste poses significant problems and threats to the environment, society and health of the population. In Ghana, this problem is more acute due to rapid technological advancement, lack of infrastructure, free trade policies and lack of sufficient coping mechanisms to manage e-waste materials sustainably. While the government and other environmental organisations have instituted numerous policies, regulations and strategies, very little achievement has been attained in addressing these problems due to high levels of poverty, weak enforcement of regulations and pervasive corruption. Using the conventional data collection approach of qualitative, quantitative and extensive literature review, this paper explored the underlying causes of the expansion of e-waste trading in Ghana, the implications of these activities on the environment and well-being of the population and the pragmatic solutions to these menaces. This paper established a complex interplay between environmental degradation in the context of e-waste businesses in Ghana. Additional findings established that while e-waste activities posed significant environmental problems that require urgent action, they are also sources of livelihood for a significant portion of the population in the country. These contradictions impact directly several Sustainable Development Goals (SDGs), including SDG 3 (Good Health and Well-Being), SDG 6 (Clean Water and Sanitation), SDG 8 (Decent Work and Economic Growth), SDG 11 (Sustainable Cities and Communities) and SDG 12 (Responsible Consumption and Production). To address these menaces, the paper recommends a multifaceted strategy that includes stricter enforcement of environmental regulations, formalisation of recycling sectors to ensure safer working conditions (supporting SDG 8), investment in technological innovation and modern recycling infrastructure (SDG 9), public education and stronger commitment to international agreements regulating the cross-boundary movement of e-waste (SDG 17).",Electronic Waste,DATA,10.1002/geo2.70032,electronic waste and environmental sustainability in ghana aligning national policies with the sustainable development goals,adom,2025,10.1002/geo2.70032,13,"Adom, Richard Kwame; Simatele, Mulala Danny"
Gaseous carbon and nitrogen losses during composting of carbonized and un-carbonized agricultural residues in northern Ghana,2018.0,Article,JOUR,10.1002/jpln.201800225,https://doi.org/10.1002/jpln.201800225,Organic waste AND composting AND rural development AND Africa,"Adding biochar to nutrient rich organic matter during composting reportedly reduces nitrogen (N) volatilization and carbonization of feedstock stabilized organic carbon (C). We studied the effects of biochar, produced from agricultural residue as compost additives, on CO2, N2O, and NH3 fluxes in northern Ghana. Three biochar types [from corn cobs (cCC), rice husks (cRH), and wood (cWO)] and their uncharred feedstocks (CC, RH, and WO), were co-composted with poultry manure (15 vol.-%) and rice straw (60 vol.-%) in randomly allocated 1 m(3) compost bins. Emissions were measured using a closed chamber system composed of a photo-acoustic infrared gas analyser (INNOVA 1312-5). Biochar amended composts showed higher CO2-C emission rates during the initial composting phase. Maximum CO2-C flux rates during the first week reached 15 g CO2-C m(-2) h(-1) in cRH and 12 g CO2-C m(-2) h(-1) for RH, while those from cCC were 19 g CO2-C m(-2) h(-1) and from CC 14 g CO2-C m(-2) h(-1). Respiration significantly dropped during the last week of composting and lower rates recorded with carbonized compared with the un-carbonized feedstocks. Total CO2-C losses were 12 kg m(-2) 34 d(-1) for RH and 9 kg m(-2) 34 d(-1) for cRH, resulting in a 29% reduction of CO2-C. Emissions were 9 and 10 kg CO2-C m(-2) 34 d(-1) for cCC and CC, while cWO and WO emitted 7 and 8 kg CO2-C m(-2) 34 d(-1), respectively. Volatilization of NH3-N was significantly lower in compost containing cWO (89 g N m(-2) 34 d(-1)) compared to WO (166 g N m(-2) 34 d(-1)), while N2O-N emissions were lower in compost mixtures containing cRH (27%), cCC (7%), and cWO (16%) compared with their un-carbonized feedstock.",Agrifood Systems,Articles,10.1002/jpln.201800225,gaseous carbon and nitrogen losses during composting of carbonized and un carbonized agricultural residues in northern ghana,manka'abusi,2018,10.1002/jpln.201800225,16,"Manka'abusi, D; Steiner, C; Haering, V; Abubakari, A; Marschner, B; Buerkert, A"
Circular economy: A sustainable model for waste reduction and wealth creation in the textile supply chain,2015.0,Article,JOUR,10.1002/pls2.10171,https://doi.org/10.1002/pls2.10171,Youth employment AND local production AND livelihood AND Africa OR any African country OR region,"The textile industry has long been a cornerstone of the global economy, but its environmental impact has come under scrutiny, particularly with the rise of fast fashion driven by rapid population growth and short-term trends. The industry's current linear economy model, which prioritizes constant production and disposal, exacerbates its environmental footprint. To address these issues, a circular economy (CE) model has emerged, emphasizing the principles of “reduce, reuse, and recycle” to extend product life cycles, transform waste into wealth such as recycled yarn, regenerated fibers, biofilms, biodegradable composites, biofuels and so on, and minimize environmental impact. Implementation of CE in the textile industry aligns with the UN's sustainable development goals, as CE aims to minimize water, resources, and energy consumption, accelerate economic growth, and promote responsible consumption and production. This article explores how transitioning to a CE model could mitigate the industry's environmental damage while influencing economic growth. Furthermore, how internet of things (IoT) (Internet of things) can be contributed to CE initiatives by providing a transparent traceability along the whole textile supply chain. The review begins by examining the drawbacks of the linear economy and then highlights the environmental and economic benefits of CE. The discussion includes waste management strategies, with a special focus on recycling techniques not only in the end products but also across various process sections of the textile industry, promoting a sustainable development and application of recycled fiber. Additionally, it explores approaches like resale, reuse, repurposing, and rental. Furthermore, the paper addresses the economic and environmental benefits from circular economy principles adaptation supported by industry-specific data. This paper shows the connection of sustainable development goals (SDGs) with circular economy, effects of consumer behavior in CE and potential risks associated with adopting a circular economy model, which are crucial for its successful implementation.",Textile Waste,DATA,10.1002/pls2.10171,circular economy a sustainable model for waste reduction and wealth creation in the textile supply chain,anik,2015,10.1002/pls2.10171,16,Anik Kumar Das; Md. Farhad Hossain; Borhan Uddin Khan; Md. Mahfuzur Rahman; M. A. Z. Asad; Mahmuda Akter
Where Should the Old Clothes Go?Promoting Circularity in SubSaharan Construction Through Textile Waste,2025.0,Article,JOUR,10.1002/sd.3477,https://doi.org/10.1002/sd.3477,Textile waste AND textile recycling AND circular fashion AND Africa,"Textile waste poses a major challenge in the 21st century, particularly for Sub-Saharan African countries, where local production and high imports lead to excessive waste, often ending up in landfills or incineration. However, opportunities for recycling and repurposing textile waste into construction materials are emerging. This study explores the trends, applications and implications of using textile waste in the construction industry by employing an interpretivist philosophical perspective through a scientometric and systematic literature review. Findings indicate a dearth of research on this topic within Sub-Saharan Africa, highlighting a critical gap that must be addressed to promote circularity in regional construction practices. This study's findings provide actionable insights into the use of post-consumer local textile wastes in construction, suggesting opportunities for economic growth through local enterprises engaged in innovative applications like ecological blocks and interior features in buildings, which have been less explored in existing studies.",Textile Waste,DATA,10.1002/sd.3477,where should the old clothes go promoting circularity in subsaharan construction through textile waste,lerato,2025,10.1002/sd.3477,14,Lerato Aghimien; Emmanuel Aghimien; Douglas Aghimien
Enhancing Circular Economic Activities of e-Waste Pickers in South Africa: Using Korten's Four Generations Strategies as Framework,2025.0,Article,JOUR,10.1002/sd.3532,https://doi.org/10.1002/sd.3532,"Electronic waste"" AND ""e-waste management"" AND ""circular electronics"" AND (Africa OR any African country OR region);","E-waste pickers play a valuable role in the circular economy and divert waste from landfills. Despite their contributions to the economy, informal e-waste pickers work in very adverse conditions. With a view to improving their livelihoods and working conditions and possibly increasing their integration, Korten's four generations framework is used as theoretical lens. A total of 814 surveys were completed across South Africa. The main findings highlight the collecting, dismantling and sorting and pre-processing activities. The main motivation for the individual participants to move beyond collection was monetary: the more processed the goods, the higher the price. Despite exposing themselves to hazardous practices during pre-processing, the majority of respondents were still earning below the minimum wage level. Korten's four generations of strategies are found to provide valuable guidance on how to think and act when supporting e-waste pickers towards increased integration in the waste systems and the circular economy.",Electronic Waste,DATA,10.1002/sd.3532,enhancing circular economic activities of e waste pickers in south africa using korten s four generations strategies as framework,ty,2025,10.1002/sd.3532,14,TY Chitaka; C Schenck; J Petersen
